,index,job title,company name,Python," R,",Excel,Java,Scala,Matlab,SAS,SQL,SPSS,Tableau,Power BI,Machine Learning,Modeling,Deep learning,Data mining,NLP,Neural Networks,Visualization,Big data,Hadoop,Hive,Azure,Mathematics,Statistics,AWS cloud,Presentation,Problem solving,Collaboration,Project management
870,https://ca.linkedin.com/jobs/view/data-scientist-scientifique-des-donn%C3%A9es-at-data-sciences-2307299009?refId=d204ca25-68c1-4ea2-85bb-c23a840c4055&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist / Scientifique des données,Data Sciences,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
871,https://ca.linkedin.com/jobs/view/scientifique-des-donn%C3%A9es-et-appliqu%C3%A9-data-applied-scientist-at-microsoft-2264267307?refId=d204ca25-68c1-4ea2-85bb-c23a840c4055&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Scientifique des données et appliqué/ Data & Applied Scientist,Microsoft,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
872,https://ca.linkedin.com/jobs/view/data-scientist-people-analytics-at-restaurant-brands-international-2322101693?refId=d204ca25-68c1-4ea2-85bb-c23a840c4055&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Data Scientist, People Analytics",Restaurant Brands International,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
873,https://ca.linkedin.com/jobs/view/data-scientist-at-international-air-transport-association-iata-2303337894?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,International Air Transport Association (IATA),1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
874,https://ca.linkedin.com/jobs/view/data-scientist-at-mcafee-2298640162?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,McAfee,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
875,https://ca.linkedin.com/jobs/view/data-scientist-ii-at-td-2307242550?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist II,TD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
876,https://ca.linkedin.com/jobs/view/data-scientist-at-bravado-2241570459?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Bravado,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
877,https://ca.linkedin.com/jobs/view/data-scientist-at-jungle-scout-2316240099?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Jungle Scout,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
878,https://ca.linkedin.com/jobs/view/data-scientist-at-mistplay-2303352548?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Mistplay,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
879,https://ca.linkedin.com/jobs/view/data-scientist-at-kabam-2307223700?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Kabam,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
880,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-kinaxis-2323323763?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Kinaxis,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
881,https://ca.linkedin.com/jobs/view/data-scientist-at-zesty-ai-2268542082?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Zesty.ai,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,https://ca.linkedin.com/jobs/view/data-scientist-at-tripstack-2307904397?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,TripStack,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0
883,https://ca.linkedin.com/jobs/view/data-scientist-at-northone-business-banking-2291222670?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,NorthOne Business Banking,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,https://ca.linkedin.com/jobs/view/data-scientist-at-just-energy-2231841953?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Just Energy,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
885,https://ca.linkedin.com/jobs/view/data-scientist-at-loopio-2302736091?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Loopio,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
886,https://ca.linkedin.com/jobs/view/data-scientist-at-wish-2176603367?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Wish,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
887,https://ca.linkedin.com/jobs/view/data-scientist-at-bus-2297948592?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,BUS,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
